1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
52.94,-2.6,36.925,1.17,0,0,0,0,0,0,0,0,48.875,0.75,0,0,0,0,0,0,0,0,50.91,1.12,0,0,0,0,0,0,0,0,0,0,0,100,64.76,6.476,0,0,0,0,0,0,37.2,3.7,0,0,0,0,0,0,0,0
0,0,0.09,0,0.12,0,0,0,0,0,0,0,1.295,0,0.45,0,0,0,0,0,0,0,0.42,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.65,5.2,0,2.06,0,0.2,0,0,0,0,0,0,0
29.99,1.7,1.795,0,0,2.41,0,0,0,0,0,0,4.88,0,0,0.76,0,0,0,0,0,0,1.895,0,0,0.67,0,0,0,0,0,0,0,0,0,0,18.32,0,1.8,0,0,0,0,0,6.04,0,0,0.6,0,0,0,0,0,0
0.31,0,30.965,0,0,0,1.99,0,0,0,0,0,9.105,0,0,0,2.69,0,0,0,0,0,22.7,0,0,0,0.88,0,0,0,0,0,100,0,0,0,0,0,0,0,100,47.35,0,4.7,23.14,0,0,0,2.3,0,0,0,0,0
0,0,0.425,0,0,0,0,0.15,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0.45,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0.09,0,0,0,0
0,0,29.195,0,0,0,0,0,2.35,0,0,0,15.08,0,0,0,0,0,0,0,0,0,20.855,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86,0,0,0,0,0,0.4,0,0,0
12.04,2.1,0.58,0,0,0,0,0,0,1.16,0,0,19.23,0,0,0,0,0,0,0.18,0,0,2.975,0,0,0,0,0,0,3.05,0,0,0,41.19,4.1,0,0,0,0,0,0,0,0,0,5.61,0,0,0,0,0,0,0.56,0,0
4.86,-1.2,0.09,0,0,0,0,0,0,0,0.18,0,0.55,0,0,0,0,0,0,0,0.46,0,0.035,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0.35,0
0.08,0,0.025,0,0,0,0,0,0,0,0,0.01,0.11,0,0,0,0,0,0,0,0,0.12,0.015,0,0,0,0,0,0,0,0,0.03,0,0,0,0,16.92,0,0,1.7,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0.09
